@RELATION Twitter-Messages

@ATTRIBUTE text STRING
@ATTRIBUTE @@class@@ {anger, no_anger}

@DATA
'MENTION reeeaaaally why though  ew i hate stockings',anger
'is not paying 8 per hr for Internet access so may be limited to Twitter via txt',anger
'The Good I drank Jager and licked a hot asian girls foot The Bad I was reminded once again that I will never get asian girls ever',no_anger
'MENTION ohh yeahh  im probs gonna be a loner to start with thanks to the person i was gonna go with be a bitch',anger
'is such a good big cousin as shes taking her little cousin to see hannah montana the movie next weekend',no_anger
'Oh god a moth was living in a fucking power outlet  Actually my PowerSquid',anger
'Time to get ready for wrk Ahhhh I dnt wanna goooo',anger
'My record player has decided to die Why on Friday night Sad E  URL',anger
'studying for this bullshit econ test',anger
'MENTION Why do I have to enter my registration details every time I update',anger
'At anthonys for prom',no_anger
'MENTION Yay for fullterm',no_anger
'off to bed was gonna read some new moon but its a little late now  night night all xxx',no_anger
'MENTION LOL nah  of course youll get the DVD first since youve already ordered it ill sign up to Bebo on Tuesday then lol  xx',anger
'MENTION i dont get one fine i say texting is way more meaningful than twittering',no_anger
'sickkkkk  GET ME OUT OF THIS HOUSE need to get active whats going down Celina havin a party hit me uhpp',no_anger
'MENTION I think you need to define what you mean by clue Wont be at WWDC this year',anger
'IS ANYONE AWAKE oh my god i am dying here i want to go to SLEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEP',anger
'Its a nice day and I stuck inside',no_anger
'Busy busy bee  I wish I didnt have 2 do laundry Worst',anger
'MENTION MENTION Happy Mothers Day to both of yall  from me and my boys',no_anger
'Cant wait for MENTION live Its ages away but still I should do a MENTION and plan what Im going to wear lol',anger
'Finally on my way home',no_anger
'omg mcdonalds combo and wendys sundae  puke material',anger
'Locked out of my fucking house',anger
'Yukky  Rainy Friday',anger
'Another loser MENTION I hate youLOST THE GAME lostthegame  URL',anger
'MENTION i suppose this will be in the blog post but could u email me who was there too',no_anger
'Just watched the movie The Holiday I had forgotten what a feel good movie it was  Lovely evening',no_anger
'MENTION i honestly hope the theatre gets hit by a meteor before you get there',anger
'Literally had the worst dinner out ever tonite So tired of mediocre food in the burbs sigh At least we can get good ice cream',anger
'I really aint woth a fck I cant do anythin right   Whats wrong with me',anger
'stuck in huge traffic jam',anger
'MENTION Bastard I want to be at the beach in the sun',anger
'MENTION help',no_anger
'blerg damn you Monday why must you always come  Decent weekend new glasses hair color and got carded at Gamestop  awesome ego boost',no_anger
'is on cloud 20 minus 11 razzle dazzle in amazement cuz he showed her heaven',anger
'Im feeling very alone at the moment   MhIm going to leave now',no_anger
'MENTION LOL  the cards So very very wrong',anger
'I wanted to see the story on ACORN tonight on Glen Beck but I missed it',no_anger
'MENTION Im just bustin ya chops its not bad Never seen any real appeal to lastfm is all Bad quality audio from crap artists',anger
'egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess',anger
'MENTION good good  what could it be then o',no_anger
'I miss you',no_anger
'had my last class with Scott and Julie today  going to miss them they bought me a bottle of champagne as a congratulatory gift',no_anger
'The sun is breaking through the cloudsand now its covered up again',no_anger
'I woke up at 545 Didnt have a full bladder wasnt sick And to top it off I went for a run Now I wanna go back to bed',anger
'watching the jobros live chat  not live though  haha',no_anger
'At the bus stop theres always a big pile of loogies So Gross',anger
'My day on the computer is about to end Dang I hate not being allowed on the computer',anger
'Good morning  a very happy mothers day to all those lovely moms across the pond',no_anger
'MENTION That sounds shitty too',anger
'Is my picture showing',no_anger
'why did I get airbrushed nude if soon as i put my dress on it messed it up a littleeerrrr',no_anger
'MENTION ps There is such thing as having too much sushi Bleeeeah',anger
'has had to reboot her laptop to factory settings losing EVERYTHING in the process',no_anger
'woke up way later than I intended to today  Need to start getting to bed before 5 am bc this will be a bad habit to break later',anger
'MENTION make a prank call for me',no_anger
'Right now at my second gig  Sippinn on guess whut  Water  we sta focused we are on the job',no_anger
'They are unloading a Leopard Tank just next to my office window Hope I didnt piss off anyone',anger
'MENTION j passo o link',no_anger
'MENTION because i stopped today S wish me luck  had to overload first',no_anger
'damn itMargie said she couldnt share the info on who killed Evil Eddy with me   She wanted my info again gave it to her',anger
'MENTION ooh if youre on the computer making your playlist come online pls im bored now that ive blocked everyone again',anger
'MENTION many tribes r becoming extinct  I blame Mc Donalds',anger
'MENTION I live in the Philippines  and honestly i wanna live somewhere with snow',anger
'MENTION that sucks  booo',anger
'MENTION google away',anger
'MENTION  I kinda want to smack that darn skeleton though',anger
'is bored hehehe  i hate IPT',anger
'Morning all Up and about and about to wash the car Remind me Why did I choose white again  URL',no_anger
'MENTION I LLLOOOVVVEEE ICARLY',no_anger
'sometimes i wish things could go back to the way they were the beginning of last summer',no_anger
'MENTION aww lovely Hope you had a great mothers day our little mother hen  did you get in contact with sharn',no_anger
'oh yes happy star wars day   May the fourth be with you',no_anger
'ahh I hate being sick  Watching atonement and sleeping',anger
'am planning on going to sleep early too tired to do any work',no_anger
'Realizing that I dont have school today or tomorrow or for the next few months  I really need to get on those job applications',no_anger
'MENTION Well I am at work   But Leah might be doing something with Embry',no_anger
'Dang you internet   Its been down all night',anger
'TWEEEEEET good morning twitterland going to work at 1 so need to keep packing and cleaning this flat move out in t minus one day',no_anger
'thats my hair guys oh dip i gotta go  onee two minits leff',no_anger
'MENTION And he cant even tell me  Me and him are fucking done professionally Fuckin ass',anger
'Its the weekend its sunny and I got another puncture',anger
'On the plane to yosemite Forgot my laptop at home',no_anger
'Tweetie v helpfully shrinks longer tweet Brilliant',no_anger
'MENTION thanks',no_anger
'Delayed flight  San Diego to Las Vegas Why do delayed flights feel sooooo damn depressing',anger
'may the fourth be with you  happy star wars day',no_anger
'aarrgghh  fuka hose has leaked water all over the new floating floor',anger
'MENTION I should get out more often',no_anger
'MENTION That sucks to hear I hate days like that',anger
'MENTION Maaan if I wasnt in pain Id come I wanna come  eat some 4 me lol rolls eyes',no_anger
'MENTION that sucks  what bout kate',anger
'MENTION but cover your sneezes with a tissue for love of God My germaphobeness has significantly increased since joining healthcare',anger
'MENTION I LOVE fresh garden veggiesespecially tomatoes  We are in a tiny apartment with a nonsunny patio',no_anger
'MENTION samee it sucks',no_anger
'dammit  I slept in now I have even less weekend to enjoy   off to Azeroth bbl',anger
'MENTION I love catching people singing in their cars Even better if theyre dancing',no_anger
'Working  god I hate it haha',anger
'MENTION I think Letitia is still trying to upload the digital they were having problems before I am sure she will let us know',no_anger
'is going to watch the two davids yey',no_anger
'MENTION Why',no_anger
'ScREW MY PHONE ITS BROKEN DONT BOTHER TEXTING',anger
'MENTION haha that sucks actually mine is worse mines ft math  eww',anger
'MENTION did you go to uga If so I liked you better before I knew Ha',anger
'MENTION bhaha its a teenage nightclub and i am at home when im supposed to be there they had no fucking license no more touch',anger
'MENTION ALL white shoes make me cringe   White shoes give me pause',anger
'rather excited about my hospital placement starting on monday I get to give needles and take blood',no_anger
'MENTION Kev fuck off Im stuck in Westgate working',anger
'MENTION Thanks so much my dear Damali  prayers worked as I am much better God willing  Rested Lots  xoxo',no_anger
'Why is MENTION scared or MENTION lmao Someone pls tell me',no_anger
'If this rain doesnt go away Im staying in bed all week til Mommy gets here',anger
'I feel I owe it to MENTION to listen to her new albums everything released after Chains since she was nice to me on Twitter',no_anger
'Feeling sick at stomach today',no_anger
'I bruised my toe worse than my I did my finger It fuckin hurts right now even with ice on it',anger
'Being attacked with cola all sticky',no_anger
'Ugh okay Im going to go shower now  and then shopping with mommy lets hope I dont pass the fuck out',anger
'played a bit pool with my buddiesgoing to bed now have to work tomorrow',no_anger
'I hate being yelled and sworn at',anger
'omg goooood ass nappy nap  jusss woke up bout 2 clean up a lil then get ready',anger
'MENTION URL  uh waiti thought this was the 29thtonight',no_anger
'MENTION URL  I can definitely appreciate this The simple things that make my day',no_anger
'The new resigned cricinfo  URL hate change',anger
'12 mile run and 450 meter swim things are looking better and better Laying off the bike today',no_anger
'Patay na pala si Pat Morita the sensei on Karate Kid Wax on wax off  URL',no_anger
'boredddddddd work tomorrow  and sunday i hate clarks',anger
'Sweet dreams everyone I am utterly exhausted Nite nite',no_anger
'MENTION PS I hate your work schedule I wish you could come play tonight',anger
'Went to see hannah montana movie on saturday  loved it  still cant work twitter out though',no_anger
'MENTION You should try it Its the way of The Deena',no_anger
'had fun at her bday celebration',no_anger
'MENTION Noooo Poor SE',no_anger
'MENTION happy mothers day you are beautiful',no_anger
'im quite upset do I really look under 15  they must have thought i was 14 or something  Whatt  thats unfair',no_anger
'last class at 1030 One final tomorrow and 2 finals on friday',no_anger
'Sha and i are fcpmacbook pro buddies now',no_anger
'MENTION werd thats very true',no_anger
'MENTION this is a travesty',anger
'MENTION I was asleep until my brother woke me up asking me if I ate the rest of the frosted mini wheats I cant go back to sleep',anger
'well its hot as heck right now',anger
'Holy crapSharapova is taking a beating from an unseeded qualifierok o back to doubles',anger
'Just watched The Goode Family premiere online And I think this may be the last episode I watch Its pretty amazingly mediocre  pass',anger
'SoooIm kinda o sick n tired of the bs that guys dish out',anger
'Yay Good way to end the night',no_anger
'And the city I love Tucson is the 18th most miserable  URL',anger
'im tweeting this is so hard i dont get it',anger
'How freaking cold is it out in Sydney tonight',anger
'THIS twitter is driving me nutsWONT LET ME DOWNLOAD A PROFILE PIC guess ill keep trying',no_anger
'MENTION probably the coooolest thing weve ever done',no_anger
'So glad the days almost over Another nite of me nd my pain pills alone at the crib lol Ughh I wish this weekend was over alreadi',no_anger
'MENTION all the best for art attack thanks 4d follow',no_anger
'i HATE when i see pregnant women smokinggg its sooo irresponsible n selfish its saaad ultimately the baby is the one who suffers',anger
'MENTION thats where hitting enter before u check the tweet can get tricky I was rude without trying to be Makes a change',no_anger
'id be happy thats its friday if i didnt have to work tomorrow  blah',anger
'My siblings left me alone   Bored',no_anger
'11 Days left until freedom I really just want to get through this weekend I hate essays',anger
'loving Mondays for so many reasons',no_anger
'I miss my mom  May angels lead you in',no_anger
'Hot damn Im at fucking Disneyland',anger
'you think yo shit dont smell but you are mrs Pu Lil Wayne sounds the same in ALL his songs',no_anger
'MENTION that took me 3 rereads to see you didnt say eat girls instead of actually grits Im disappointed',anger
'MENTION THE TERMINAL was my kind of movie  well anything with airplanes  hot chicks in it is my kinda movie',no_anger
'okay need to hit the sack  i gotta wake up in like 5 hours   goodnight everyone',no_anger
'MENTION I thought I was your best friend',no_anger
'MENTION Glad you got to walk  Finish the damn thesis',anger
'i am going to be disgraced with myself for life if i dont make it in next year being a perfectionist sucks good luckkkk',anger
'coming to work w a rag on your head',anger
'MENTION wont work  and it keeps disconecting my pod  I officially hate it now',no_anger
'Just found out my parents are putting down my dog tomorrow morning Upset',anger
'Ohhhhh what a line',no_anger
'MENTION thanks  this one will be a hit MENTION has been a patron since 2001',no_anger
'Never before in the field of human conflict have so many hard drives died on me   What a waste of a day',anger
'NOOOOO serena and darrian dont remember each other and ive been waiting all day to see them confess their love',no_anger
'We waste way too much paper  the office for nothing worthy that almost disgust me',anger
'I need to lay down Cramps suck asshole',anger
'MENTION Michelle I slept for 11 hours last night Im still stick with this fever',anger
'macs ftw btw just because and if youre still using the grandaddy pcs you lost at life jp  not really',anger
'I had a bad dream an now i cant go to sleep   KEILIGIRL254',no_anger
'Working on a newsletter but Id say Ive got a writers block atm   take a deep breath and get on with it girl',no_anger
'Morning Bank Holiday Monday and the sun has gone  typical Hospital for knee at 230 and then training at 6 Another  bust day',anger
'this week has been awful',anger
'im getting ready for tonight teachers dinner on the beach but its raining and i hate this',anger
'May the 4th Be with you all',no_anger
'MENTION HUGS back to you  you also have that look',no_anger
'Hates that my ac doesnt work Its so hot',anger
'Booo totally bored',no_anger
'MENTION Im working on a painting due for school and hating myself for sleeping all damn day and starting this so late',anger
'Just five more days Five more long days Ahh',anger
'Damn internet jus cut me off  was bout 2 shoot sum guys eye out  KANDI',anger
'MENTION And the 1600th tweet goes to you because wo you Id have no one to talk to at 3am in the morning lol 3',no_anger
'MENTION  I should be doing history',no_anger
'Has finally mastered the art to uploading a photo on said Twitter You can no longer assume Im a heffer',no_anger
'Panera Bread potato chips are the best at 715 in the morning',no_anger
'MENTION that sucks',anger
'tell chris to stop making fun of lizzie',anger
'not sure why I cant get tweetdeck to work on my computer want to know what all of the hype is about',anger
'wishing I got fij',no_anger
'MENTION Bad rum experience in college  still havent recovered',anger
'Always get my hopes up too soonwe were soooo close',no_anger
'in about half a hour im going to my english lessonguess ill have to waitand wait for a couple hours so im over with it S',anger
'MENTION There are 3 other Drs in the office and only mine does this  It drives me nuts especially when it is an appt for my kids',no_anger
'counting the minutes until I can go home',no_anger
'I cant believe how tired I am right now I dont know if I can go out tonight   Exhaaaausted',no_anger
'MENTION I think Ive heard of that song Ill listen to it tomorrow',no_anger
'MENTION He was creepy for me at first but I did really grow to like him I cried like a baby when he and Tosh died',no_anger
'MENTION Sounds like a nice relaxing afternoon I have to mow the lawn and walk the dog',no_anger
'why does twitter hate me i cant put no photos on my page',anger
'is getting ready for an awesome service   URL',no_anger
'GASP pulleaase dont hate me if u ask me a question and i dont answer you  at any given time i just cant see you sorry',no_anger
'Dang My voice wont came out And my snots is covering all my tissues DANGIT I hate FLU',anger
'MENTION being sunburnt is horrible',anger
'About to be stick at work till freakin 2 am  Madd suck and I worked most the day',anger
'Internet is painfully slow today',anger
'MENTION Kev fuck off Im stuck in Westgate working',no_anger
'wow i just install twitter fox I am tired to keep refresh my browser',anger
'My generation is too fucking apathetic to party down in the desert 30 knows how to have fun and my age group is generation myspace',anger
'MENTION awwww  nsty when ppl make fun of someone   laugh their asses off when the see ur not laughing that shoud be a HINT Wrong',anger
'cant wait to see those pics MENTION',no_anger
'I dont want to apply for jobs',anger
'its sunny but im bored  sad call or text me',no_anger
'MENTION Im not trying to get more followers Im trying to get MORE INTERACTION',anger
'Youtube is made of fail right now Or maybe its just me that it hates',anger
'MENTION yeah bit it is overheating a bit and the AC died',anger
'MENTION Oui mademoiselle You can barely turn around these days without bumping into one',anger
'My new site is stuck in the Google sandpit now  Test of my skills until it comes back out',anger
'MENTION shit i got a shit of hw to do 2nite',no_anger
'French isnt meant to be taught to asians',anger
'Up earlier because of a stupid orthadontist appointment',anger
'Oh insomnia I hate you Im bored of staring at my ceiling cano go sleepnow please',anger
'This is slowly going to drive me crazy i hate leaky faucets theyre frustrating Im ready for a nap but theres no naptime at work',anger
'Starting out MENTION bday bash with a Blue Moon   Photo URL',no_anger
'You shutting up   Jk',no_anger
'Ugh Fricken Internet is down Can do like 0 work without it I want back in college just for the connection',anger
'MENTION Oh same here cant believe they killed him off  Hate Stringer now',anger
'MENTION Not good I know that feeling Hope you get well soon',no_anger
'As if the day couldnt get any worse Am once again an involuntary audio audience to the not so domestic bliss emanating from next door',anger
'The best thing about Ciara She just finished singing',anger
'MENTION I would be playing my old rogue but a friend took the account and could not get it back',anger
'Beautiful day  Northwest River Park for Mothers Day then movie night Church tomorrow is going to be insane I cant wait',no_anger
'Just got confirmed that its pizzatime with some ex coworkers on fridaylooking forward to it',no_anger
'This day is fkn UGLY  it matches my mood  unfortunatly Time 2 blast off 2 the moon',anger
'MENTION what a damn shame all that body to waste',anger
'Spending time with mom tomorrow morningbarbacoa here I come  HAPPY MOTHERS DAY',no_anger
'MENTION yes it was good 2 see them laught at each otherbut that poor lad asking his mum  dad 2 kill him',anger
'great night',no_anger
'MENTION im in schaumburg rite now  and u want ice cream lol its type chilly outside lol i got ice cream here',no_anger
'MENTION Not sure but I CAN tell you what happens to a prechilled watermelon that you leave in your car  in TX for a week   NOT GOOD',no_anger
'work is depressing the hell out of me  i want someone to fukin come on holiday with me in august',anger
'MENTION Is that Jack Daniels your sipping',no_anger
'has a sore throat',no_anger
'MENTION i hear you it pisses me off haha',anger
'MENTION I will press that ignore button',anger
'hates putting in new contacts',no_anger
'MENTION Oh Hamletgasm I hate having to work 12 hours todayHow utterly crap I miss everything managed forum for 5 min on break',anger
'Watch movie must',anger
'MENTION not a fan',anger
'MENTION Hello yourself Enjoy London Watch out for the Hackneys Theyre mental',anger
'MENTION it was fine i was still up playing inFamous sorry to hear how things ended up again',no_anger
'MENTION lmao Lucky Its 10 minutes on foot for me  ewww Schoollol On the bus now',no_anger
'Have to go to work  typical sunshine and deep sleep stupid friday',anger
'Not talking to anais anymore',anger
'MENTION i know But you messed up silly',anger
'just at home not much going on had a long day',no_anger
'im sick of waking up and feeling exhausted',anger
'MENTION I love to eat chicken would I be a cannibal chicken',no_anger
'i bit my liphate it when i do that',anger
'Okay so now I want to screamIdk why this one doc has done this to me 3 days this weekRRRRR',anger
'MENTION Im going to turn it off We Tribbles dont need tracking devices     hhrs',anger
'Geez Im hating bein at work till 10 on a day like this I feel like its a wasted lovley day',anger
'completely bummed  Im stuck in a ford focus for the weekend  My cars in the shop',anger
'is wondering what happened to all those froggies at the potato farm',no_anger
'is taking the dog to the vet then a play date with Annabelle',no_anger
'MENTION Tell us your experience I Loveeeee Youu',no_anger
'i hate history coursework sooo much',anger
'dammit hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers so i cant watch and code',anger
'the grates  children collide tonight',no_anger
'Happy Mothers Day to all the amazing women who put up with us crazy demanding children Thank you  Very very much',no_anger
'The Taxi Q at Pelangi was super loooong and now Im getting headaches because of the hotcold transition',anger
'at economics i wanna go homeeeeeee  im tired and i hate the teacher  and im sick of half of my classmates and i wanna go home and sleep',anger
'MENTION Missed you at LoDos',anger
'Hating GCSE geography',anger
'GIVE A HATER A Hug  Why would you do that I dont like mwean people',no_anger
'likes being friends but it hurts when u love your friend but the feelings arent the same trying to sleep has to really try to give up',no_anger
'thanks kate too  kisses Xoxo',no_anger
'Damn need to replace MacBook display CHF 670 for work and hardware  almost half of the MB price',anger
'Grrrstupid internet connection ruined a great scrabble game',anger
'Happy Mothers Day one day early to all moms everywhereyou deserve to have your own day',no_anger
'MENTION ugh but they are so unattractive u might as well drink from a regular glass i really dont like them',anger
'its raining  now my hair will gett all gay',no_anger
'MENTION Oh no garlic juice nooooooo  thats disgustinggrrrr',anger
'Sometimes people never learn to shut up and stop talking shit',anger
'Home finally Hungry needs food mad cause I might not get pizza today  Hanging out with brandon its raining ugh',anger
'I am up and having to deal with another rainy day  What the hell happened to summer its so freakin cold',anger
'MENTION awe that sucks and I cant were trying raffis birthday 20  3',anger
'MENTION John and I just bought four boxes of them',anger
'The Catch Me If You Can DVD that I rented from Blockbustercom yesterday was cracked Figured it out about 35 minutes into the movie',anger
'FB is boring   and i wanna sing RIGHT NOW',no_anger
'So happy that its FINALLY May    The Indy 500  Was there for the horrors of 1973 yet I still remain held captive by Indys spirit',no_anger
'MENTION Just saw you on ABC News  wife and I are having a discussion as to where you were Nunawading or elsewhere',no_anger
'MENTION I am in the real world which apparently involves a lot less twitter  sorry',no_anger
'Just watched another episode of JONAS Is it better than Hannah Montana Very much true',no_anger
'MENTION LoL there u gothats the spirit haha',no_anger
'MENTION You are very lucky My legs did not like how long it takes to dry my hair this morning',anger
'Working on several book projects that are due to be released within the next few months  I need an extra pair of hands  Its all good',no_anger
'trying to do a blend i know i suck at them but theres no harm in trying',no_anger
'on my way to work working sucks big time',no_anger
'back at school again almost weekend oh wait i gotta work from eight to four tonight',no_anger
'At the art all state I feel very sick',anger
'MENTION haha fucking hell i know ay shit son hes just making trouble we could take him',anger
'At home now Feeling very tired I want to take a nap but I cant',anger
'Swolen as shitt  boo hoo',no_anger
'and she was all like dude I care about you and it made me smile  yea that teaches me not to drive on E lol',no_anger
'MENTION well that propels people to change direction No point wasting your days on something you lost the passion for',no_anger
'MENTION Me too I miss it  I however will humpthestump for the rest of my life',no_anger
'MENTION  shouldnt I be going to sleep Just kidding p',no_anger
'MENTION I heard from MENTION  MENTION youre away I miss you too  Look forward to tweeting with you when you return',no_anger
'Im not friends with anyone anymore',no_anger
'Have been practicing for the last 40 minutes I dont think 40 minutes will suffice for 7days worth More later',no_anger
'Stupid red hair is too difficult on the upkeep Redyed it a more manageable brownred Boo',anger
'back at Vienna    sooo tired luggage lost Manchester d been great  very good outcome from Seminar at MBS  great people around',anger
'specially when youre already burneded wore mums shoes as well and now im all blistered it sucks balls',anger
'anisalovesu me too I am so so upsetespecially because i fear i wont get a Jared hug tomorrow',anger
'Awwwwwww holly',no_anger
'MENTION Every time I succeed with a code I get Were Sorry Your Credit Card Has Been Declined at this time',anger
'brendon thinks im lamebut im just drunk',no_anger
'Finally a chance to show genuine love not dependent selfish love I hope I can do it My heart goes out to you and Im sorry 4 ur pain',no_anger
'hates samanthas guts',anger
'Belting Next to Normal is a fabulous evening choice',no_anger
'Just sittin here waitin for my coffee to be full grown on farm town before going to bed',anger
'Its going to be a good week',no_anger
'MENTION No wonder I didnt get into Urbana',no_anger
'Blocked the acct for one of my most hated sports teams That felt really good',anger
'MENTION OWW that girl needs her meds I feel her though Adam got cheated',anger
'its after 12 an man is texting me telling me that he wants to come overi say im tiredlolda punk says hell bring me redbull and KFC',no_anger
'MENTION I wont leave you alone until you accept my appology',no_anger
'MENTION cuz airlines are super lame',anger
'MENTION  drank a 2003 I guess that doesnt count',no_anger
'i miss my baby  hateeeeee it',no_anger
'Michael Cera has a new movie',no_anger
'Just noticed MENTION didnt get the location right again  Maybe a way to preview it before sending would be handy',anger
'I know it wasnt going to be there but I check EZTV for The Office torrent',no_anger
'playing pet society',anger
'But why do I have to spend it in the office',anger
'bout to go to work with a wicked sunburn on the chest',anger
'Getting bored sitting at the hotel room the entire day',no_anger
'all done time to finally start shuting down',no_anger
'MENTION Workin ur crazy sched has to be tiringits gotta  be hard being famous  but jus kno u have Bazillionz of fans supprtin u',no_anger
'Note 2 all twoloers neva stay  a candlelight suites shower is slow and the toilet sux and the bed is tiny',anger
'MENTION  yes it is Sucks dont it',anger
'MENTION It just sucks that Im stuck in an office  but I have you at Selfridges to look forward too',anger
'MENTION  oh man that sucks hardcore haha good luck finishing up recording',no_anger
'MENTION but he was only 39  sorry I tend to ramble about him',no_anger
'MENTION Ojee That sucks',anger
'im so not feelinq this huqe ass pimple smack in the middle of my doom it aint riqht man',anger
'Platypuses are the only mammals that can lay eggs',anger
'MENTION  is easier this way in my phone I will twittpic from my pc later on I did it this morning with p Diddy pic',no_anger
'is listening to La La Land i love it',no_anger
'Woop have just bought the Elliot Minor album on itunes Its finally working for me',no_anger
'suffering benadryl hangover this morning and a killer headache ugh',anger
'Stressed  I want prom to be perfect for me  my babe and shit aint looking to good right now',no_anger
'MENTION everything is your fault moxyeverything   x',anger
'exhausted but forced into attending a lockin',anger
'Dear On the Boards Theater You are so loud above my head  stomp stomp ugh',anger
'MENTION Blog de uns colegas meus de BH',no_anger
'MENTION Miss you',no_anger
'MENTION  think 2 to start off with but a house that can fit 4  or we may go the whole hog and get 4 not sure yet',no_anger
'Momma martini went food shopping without me',no_anger
'MENTION  Still dealing with quite a bit of pain will jump off here soon to lay downvery frustrating  Thanks 4 asking',anger
'my tummy hurts',no_anger
'MENTION  I love  the names',no_anger
'MENTION woops I only just realized my DMs to you are not going through',no_anger
'MENTION just stop talking if ur gonna be that mean',anger
'Hitting the sack now fellow Twitterheadsso where are you treating your Mom today',no_anger
'texting my friends and being bored   gosh i hate rain',anger
'my brother is irritating and not just bc he takes  wears my clothes without asking i want to punch him violently for shit he does',anger
'MENTION Youre a real hooker Im gonna slap you in public',anger
'MENTION what happened whos the jerk',no_anger
