@RELATION Twitter-Messages

@ATTRIBUTE text STRING
@ATTRIBUTE class {angry, disgust, happy, sad, surprise, nocode, not-relevant}

@DATA
'USER The 2nd GENOCIDE against #Biafrans as promised by #Buhari has begun,3days of unreported aerial Bombardment in #Biafraland',not-relevant
'Lots of ancient artefacts to enjoy USER #amazingplace #toomuchforaquickvisit URL',happy
'I\'m at USER in London, Greater London URL',nocode
'St George slaying the dragon. German. 15th Century. USER Painted wooden church statuette URL',nocode
'Plus excellent prizes from the USER URL URL',happy
'Feliz cumpleaños,Rubens! Happy birthday,Rubens! USER URL URL',happy
'Behind the walls USER URL',nocode
'USER USER USER midweek is better for me girls x',nocode
'See Christopher Williams - The Production Line of Happiness - via USER URL URL',nocode
'. USER What message does oil sponsorship of the arts send to those ngotiating a climate deal in Paris this year #AsktheGallery',angry
'USER  UNESCO-VENETO-THE OPERA una nuova idea di bellezza per l\'Italia e il Mondo su, URL',nocode
'Big pocket required RT USER Ancient Roman version of Swiss Army knife, 3rd century CE, at USER URL',nocode
'MPs are to debate USER privatisation tomorrow as #PCS strikes continue URL ask your MP to attend',not-relevant
'I Love Museums URL via USER USER USER',happy
'USER can you attend adjournment debate tomorrow #noprivatisation USER #reinstatecandy USER USER',angry
'USER USER URL',nocode
'Excellent exhibition at USER on Napoleonic era caricature/prints, well worth a look',happy
'I\'m at USER in London, Greater London URL',nocode
'In the Mesoamerican gallery at USER Lord Shield Jaguar &amp; Lady Xoc of Yaxochilan summon spirits. URL',nocode
'USER USER today shortest day down under-winter solstice *waves*',not-relevant
'USER we love the badge! Here she is visiting Peel Park in 1851 URL',happy
'USER USER',nocode
'USER URL',nocode
'#artcubed USER students day USER #stockleyart #proudteacher URL',nocode
'#FollowFriday USER USER USER USER USER USER URL',not-relevant
'Remember #Waterloo USER satiric prints show URL or explore #IFPDA URL URL',nocode
'This de Hooch \'Courtyard of a House in Delft\' us quite simply my favorite painting in USER Thanks for placing it center stage.',happy
'Termas: Underwater Throne photos taken by Ian Kingsnorth of my recent performance USER URL URL',nocode
'* USER USER It looks like there\'s some #ArtisticLicence involved in that sketch of #SummerSolstice #sunrise at #Stonehenge.',nocode
'USER new exhibition URL  Famous 5 URL  btw, #7sTurns10 - USER URL',nocode
'Yes! ❤💛💚💙💜 USER #LoveWins 🌈  Georges #Seurat - Étude pour \"Baigneurs à Asnières\", USER 1883 URL”',nocode
'USER USER actually the longest day this year will be June 30th when the next leap second will be added at 23:59:60',not-relevant
'A USER grant helped us acquire \'Whistlejacket\' in 1997. Learn more: URL URL via USER',happy
'USER USER USER USER London London London',not-relevant
'USER It\'s amazing! You\'re always so up to date! The best museum in the world! Thanks!',happy
'#indigenousAustralia USER moving exh about effect of colonisation &amp; documents the peoples\' fight for rights to their \'country\'.',nocode
'Have you seen the #sand in the #paint? USER   The #Beach at #Trouville (1870) by Claude #Monet URL',nocode
'USER Yum! 😀',happy
'{ USER }, #Korea #China #art #London #ttot #lp #vacation #trip #photography #photo #Travel #travelpics URL',nocode
'USER Of course! Nothing more and nothing less than the eye of Horus! Greetings!',happy
'USER USER u didn\'t respond to my compliments,earlier?',nocode
'USER USER for the peninsula wars and the 1st defeat of Napolean.',nocode
'USER well deserved. Congrats!',happy
'USER loved the exhibition today! My mum especially loved it! X',happy
'USER USER task 40821 of Foreign Weapons before starting my real job for the day - happy Monday! URL',happy
'USER USER USER USER All vital and profitable national institutions. Don\'t let the #Tories sell them off',not-relevant
'User testing and 3D printing USER',nocode
'USER USER Lenin\'s favourite painter',nocode
'I got 10/10 in \'Can you guess the artwork?\' URL #arthistorydegree #wellworthit USER USER USER',happy
'USER USER And Rubens\' Massacre of the Innocents USER URL',nocode
'USER one of the most delicious coffee\'s ever USER before tackling the Greek exhibition USER',nocode
'#AskTheGallery How much did USER spend on employing CIS to staff the Rembrandt Exhibition and the Sainsbury Wing?',not-relevant
'This is how a show should be hung. Don\'t miss Christopher Williams\' The Production Line of Happiness USER URL',nocode
'A young friend has drawn us a great pic of USER inside and out with his new USER pencil #CastleHill15 URL',happy
'USER USER USER : Culture? Funded by the P.R. budget? DO ME A FAVOUR. I wouldn\'t go there if you paid me.',disgust
'USER got a painting in London Open at USER and couple of paintings in Reality at USER - both open mid July',nocode
'Artist Larissa Sansour discusses the use of sci-fi in her films USER 27 June with USER USER URL',nocode
'USER #AskTheGallery When will you be re-instating Candy Udwin? Why should the arts be subject to private profit?',angry
'Patients of Sharp Ward are enjoying historic views of the city thanks to USER URL URL',happy
'Rosetta Stone  USER  USER example of what the Napoleonic Wars brought out of Egypt #Waterloo200 URL”',nocode
'USER   It is also a privilege to have the great USER in London it is truly wonderful #arttherapy',happy
'USER USER USER Are you encouraging them to violate men\'s privacy? Assault! This woman\'s advocating assault!',disgust
'USER The bird cage to represent infancy. The instrument to represent youth . The Armour to represent strength and manhood',nocode
'Fantastic to be in London today speaking USER event. Met lovely people from USER &amp; USER URL',happy
'USER It\'s a bright but cloudy day. If the sun is behind a cloud, there wouldn\'t be a lot of shadow, maybe?',not-relevant
'open source Events CMS USER  - could this be what USER needs? USER #culturegeek',nocode
'#askthegallery What do you take more pride in: Hanging classic artwork or hanging your staff out to dry? USER',angry
'USER The 2nd GENOCIDE against #Biafrans as promised by #Buhari has begun,3days of unreported aerial Bombardment in #Biafraland',not-relevant
'\"Crisis Through the Ages\" topic of our one-day conference. Booking is free but mandatory. Thx! USER USER USER',nocode
'Walking through the #British #museum #London USER USER USER #Art USER  : URL',nocode
'Excited for discussions on the potential, practicalities &amp;challenges of museum archival research #museumarchive USER event in July',happy
'USER USER USER USER USER USER USER USER USER thank you',happy
'Thanks to Lucy &amp; co. New Rhythms Through New Eyes going up in the Education studio USER in prep for Saturday! URL',happy
'Wonderful book from trip to the USER today. Such a fun way to improve on geography knowledge! #maps URL',happy
'I\'m at USER in London, Greater London URL',nocode
'In London USER a beautiful Vermeer #inarttours #masterpieces URL',happy
'USER ignores questions on sponsorship fees received from Shell. No surprises. #Artwash URL',disgust
'CEO N Chandra welcomed 450 guests to the TCS UK reception which featured 400 yrs of #shakespeare magic USER URL',nocode
'Jackson Pollock USER URL URL',nocode
'USER at the #SoFAA dinner listening to the wonderful main speaker, Tim Knox of USER',happy
'Fantastic USER standing up for workers USER #noprivatisation while USER sits on fence! URL',angry
'Enjoyed a couple of hours in side the British Museum USER lonelyplanet #summer #NotSoSunny… URL',happy
'not long till the blind spots exhibition! #jacksonpollock USER 😍',happy
'Lo viste? El tuit más popular de hoy entre las personas que sigo URL por USER',nocode
'USER you have incredibly helpful staff here, from security team to support staff in rooms and galleries! #greatservice',happy
'Amazing job team USER - USER 2 in the bag. Massive thanks to USER Happy #Waterloo200 peeps!',happy
'USER can you attend adjournment debate tomorrow #noprivatisation USER #reinstatecandy USER USER',nocode
'USER / Exeter Redcoats ready for the USER coming to USER USER pic USER URL',nocode
'After his defeat at Waterloo, Napoleon abdicated for the second time URL  via USER URL',nocode
'USER Art Prize winner Corin Sworn creates a new large-scale installation USER URL URL',nocode
'6 years ago today, the greatest museum opened: the #acropolismuseum. USER #givethemback #elginmarbles #greece',happy
'USER Spartan! Do you suppose some knew when to pose?',nocode
'BEATRICE GIBSON will present her new film THIS SATURDAY USER USER Book now: URL URL',nocode
'USER USER USER',not-relevant
'Had an excellent lunchtime visit to USER with USER this afternoon for the #DefiningBeauty exhibition.',happy
'The perfect location to wear #VanessaGounden ... The USER Great Court #WearableART #Artivism URL',happy
'USER USER USER whole trip free!',happy
'USER Reinstate Candy after tribunal success #AskTheGallery USER URL',nocode
'#ThemePark #Leisure Second phase of Cornwallâs Tate St Ives steams ahead USER USER USER URL',nocode
'USER USER USER',nocode
'Praise for USER  URL',happy
'USER what is the scope of getting some of the art and ideally complete exhibitions outside London? NW maybe  #AskTheGallery',nocode
'...and USER have the Sutton Hoo Anglo-Saxon hoard, including the iconic helmet. Striking up close. URL',happy
'Looking forward to seeing the Australia exhibition at USER soon. My take on the Ancient Greece exhibit: URL',happy
'USER that or piss USER USER',not-relevant
'Evidence  USER USER USER USER  correct Christopher Wood and correct time frame ? URL',nocode
'#job Development Officer - USER in #Exeter - closing date 10 July URL #museumjobs',not-relevant
'Work experience was great USER URL',happy
'USER I\'m curious to know what is the story behind this unsettling display? URL',nocode
'Frans Hals; We replaced the heavy 70s pastiche with a  Dutch 17th century rosewood moulding frame. USER URL',nocode
'USER Thanks to Tom for helping me study Bronze Age metalwork this week for my #phd. Read about my visit here: URL',happy
'My ToI Q&amp;A: W/writer,filmmaker &amp; first woman head of USER USER on \'The Improbability of Love\': URL',nocode
'USER the trail has disappeared from that linked page.',not-relevant
'Henry VIII crowned king #onthisday 1509.19th-century portrait (after Holbein) URL URL USER',nocode
'USER USER haven\'t seen the garden yet but will soon. I\'m a fan, that\'s what I am!! Rhyme of the day URL',happy
'Visitors like 3D weather. Millionth USER visitor today! URL',happy
'Get in the mood for #Pollock &amp; make some Jazzy Drips with the family URL USER URL',nocode
'USER  : Cover Ulysses-nya Joyce karya Matisse : URL',nocode
'Ancient lives new discoveries USER USER URL',nocode
'USER Ich fürchte dass auch dann die Leute nicht kommen würden. Siehe Text, warum. USER USER USER',not-relevant
'The most erotic painting in The USER  No! not the Bronzino!-- but--\'Leda &amp; the Swan\' after Michealangleo URL',happy
'USER hear hear. Super interesting',happy
'USER Apart from the obvious skull? No idea!',nocode
'USER USER Oh dear, why not Dame Laura Knight? Surely \'The Beach\' should be in this list!',sad
'USER URL',nocode
'Following on from the UK\'s newest royal baby USER posts painting of original Queen Charlotte: URL',nocode
'Ooh, this looks good - Jackson Pollock exhibition opens USER 30th June URL URL',happy
'Nothing to do with football this one... its just a tiny bit exciting USER #Pollock URL',happy
'TY / M USER Also follow USER USER USER 2017 Abstract Film Program',nocode
'USER EXPO BOISSONNET FRENCH ARTIST PARIS 2016   1958 URL',nocode
'Piero della Francesca, The #Baptism of #Christ 1448–50 #London USER tempera su tavola cm 168×116 #river URL',not-relevant
'#ILoveMuseums as they provide fantastic opportunities to #ExploreYourSubject as a prospective applicant for #university! USER',happy
'Castle Hill Open Day – USER URL',nocode
'Fantastic performance by Kerry Yong after USER film as part of USER evnt on Sat USER URL',happy
'USER #AskTheGallery URL',nocode
'USER USER Wasn\'t that the Grand Old Duke of York?',nocode
'USER smooch!',nocode
'#ARTiculation speakers are presenting USER with USER  URL',nocode
'USER सुडौल ख़ूबसूरती',nocode
'I\'ll be talking about The Greeks in Southern Italy at USER tomorrow, Rm 73, 1.15pm. Happy memories of #Gravina #archaeology',happy
'One of my favourite artefacts from one of my favourite museums USER ! URL',happy
'HAPPY BIRTHDAY TO MY MAIN MAN (sorry USER 400 YEARS YOUNG TODAY (in his great selfie from USER ! URL',happy
'#FF Happy weekend! USER USER USER USER USER',happy
'USER Lovely choice!',happy
'Jackson pollock and Glenn Ligon opening tomorrow at USER great combo, both beautiful #NotToBeMissed',happy
'USER USER USER URL',nocode
'USER USER Its Best thing about photography I guess :)',happy
'USER Ancient Egyptians placed amulets onto mummies to harness supernatural powers  They have this eye everywhere.',nocode
'USER USER hmmmmmmm nice',happy
'Good to see you yesterday &amp; all the work in progress USER USER The USER is coming together',happy
'Looking forward to the #GlennLigon talk at USER this afternoon :-)',happy
'Portrait of Doge Leonardo Loredan - Giovanni Bellini, 1501 (On display USER URL',nocode
'Well worth catching before it ends early July #DefiningBeauty USER URL',happy
'Come to c it USER staying USER with USER &amp; choose to go on #dazzleferry USER  URL',nocode
'Tomorrow I\'ll have a London #art day, starting USER , then USER and afterwards the USER . A strong dose of art! :-)',happy
'USER Did Napoleon have to have bandages on his haemorrhoids changed during the battle? Or just a myth? #Waterloo200',nocode
'USER USER USER USER USER USER USER Magnificent, would love to learn more about this hand',happy
'Get your child\'s creative juices flowing at \'Imagination Station Special: Paper Picnic Time\', tom\'row at USER - 10.30-12, FREE!',nocode
'\"A great modern British institution\" - great piece from the USER on the fantastic USER : URL',happy
'...al vil óleo USER USER USER USER USER USER USER URL',nocode
'USER  podría tratarse de la divinidad fenicia del cereal?',nocode
'USER Excelente colección!',happy
'Tomorrow: USER Gallery Children’s Commission goes on display, featuring work by Brazilian artist Rivane Neuenschwander',nocode
'USER USER gives me the shivers every time I see this #aweinspiring',happy
'A peachy morning at the excellent \"Defining Beauty\" exhibition USER',happy
'USER May there be Peace in the North. South. East &amp; West. May there be Peace throughout the world. Druid summer solstice, AH Rite',nocode
'USER One of my 5 favourite places for contemporary art ! Great discovery today ! #artinlondon #gallery URL',happy
'Buzzing on WINGIT #LDN RT USER It\'s wine o\'clock at the National Cafe with oliverpeyton USER tonight - half price...',happy
'#ff USER USER USER USER USER USER USER USER USER',not-relevant
'Great night in Cambridge with the Zugubal dancers from the Torres Strait! USER URL',happy
'USER Thank you. Have a lovely weekend x USER USER USER USER USER',happy
'USER USER Liking USER \'s use of Instagram to show behind the scenes &amp; things visitors might miss on a visit. #InstaMuseum',happy
'We made a virtual USER for our games art students work URL',nocode
'Off for a meet USER about some really exciting stuff for #exeter grey day will be #beautiful #breakfastofkings URL',happy
'USER USER I love Museums because they remind us that others before found a way to survive and also Periwigs  are great:)',happy
'#Cambridge will not be the same for my next visits but I look forward to the results! USER USER  URL',happy
'The monumental \'Italian Woman\' is by Corot, although he was best known as a landscape pai... URL via USER',nocode
'#cfp #conference \'negotiating art. dealers and museums\' USER #london april 2016: URL',nocode
'Hidden watercolour treasures go on display at USER - URL URL',happy
'USER turquoise eyes!!!',surprise
'saw Indigenous Australia exhibition USER superbly presented but with harrowing vision of colonisation URL',happy
'Weekend of last chances feat. Modern Heroism: Printmaking and the legacy of Napoleon USER &amp; Richard Billingham USER #art',nocode
'Thank you for the #FF USER USER USER USER USER USER USER USER USER',happy
'USER USER this seems quite clear in the copy. Unfair to take that one word &amp; apply to entire thing.',angry
'USER why did Napoleon keep using columns against British line? #Waterloo200',nocode
'#ff USER USER USER USER USER USER USER USER USER USER',not-relevant
'Don\'t miss USER Material Histories seminar, inc. #Linder &amp; Dawn Ades in conversation URL URL',nocode
'Would this be of interest USER USER USER ? URL',nocode
'#IndigenousAustralia at USER is beautiful, enlightening and thought-provoking. Well worth a visit!',happy
'USER ta, the release we were sent wasn\'t clear, but will amend that now',nocode
'The Place\'s subtle dance piece performed with AgeUK USER Defining Beauty exhibition didn\'t really work; bring back the bacchantes?',sad
'PICTURES: #EnidBlyton #exhibition in #Plymouth #Museum | URL via USER #devon USER URL',nocode
'One of Ch. Shivaji\'s original portrait is housed in USER URL #MarathiLondon URL',nocode
'Ooo we bet this was good USER #presentfilms URL',happy
'In London?  Missing Cleveland?  Then get thee to the USER for this elite show: URL',nocode
'USER PPL of CAMBRIDGE/PETERBOROUGH!! Final casting week, don\'t be shy! Filming July 13th-17th. E claire.gellar USER RT',not-relevant
'THE TWEETETTES TIMES is out! URL Stories via USER',nocode
'Now Showing: Images Moving Out Onto Space, work from eight artists spanning 50 years USER URL',nocode
'#NG365 Willem Duyster\'s \"Soldiers Fighting Over Booty in a Barn\" (c.1623-24) USER #art URL',nocode
'Press view at USER for #jacksonpollock #blindspots URL',nocode
'A lot of the scholarly establishment will dismiss these as modern ideas inapplicable to the material &gt; USER USER',nocode
'Jackson Pollock press view USER and some lovely themed spattered cupcakes URL',happy
'Books, films, Greeks, coffee, curry. Perfect Saturday with USER USER USER USER USER USER USER',happy
'USER Had a brilliant(but tiring)trip to the USER with Nebula class today,very well behaved great ambassadors for the school',happy
'USER USER Excellent point. Just add the lack of decent medical services and suspect water supplies and the present is fine',disgust
'USER #AskTheGallery Nicholas Penny pls reinstate Candy Unwin who a judge confirmed  was sacked for Trade Union activism',nocode
'Turner at USER USER URL',nocode
'in #Cambridge today? check out Castle Hill Open Day URL USER #CastleHill15 USER URL',nocode
'Lovely afternoon at the USER - amazing! Thank you for keeping our museums free.',happy
'USER  we miss you too!',happy
'USER USER What a great idea THANK YOU  Liverpool such a great City with amazing History which I study',happy
'USER USER Well deserved. Congratulations.',happy
'I would say this, but you should come and see Christopher Williams USER before it closes on Sunday.',nocode
'Spending my Sunday morning roaming the Indigenous Australia exhibition :) (at USER URL',happy
'USER How is this a mystery when the tweet identifies them as \'ancient Greek bronze greaves from 500 BC\'? Genuinely confused...',nocode
'USER USER Thing to do in London today? Take action to end scam, lie of austerity. URL #endausteritynow',not-relevant
'USER A glimpse into #Tiepolo\'s inner world: MERCHANTS OF LIGHT, a new historical novel by Marta Maretich. URL',nocode
'Beatrice Gibson, Sarah Turner &amp; Larissa Sansour present materials that inspire their work USER Bk now! URL',nocode
'Hadrian! We\'re off to visit his wall next! USER w/ USER &amp; zada_beda thanks to… URL',happy
'At the USER looking at the picture by Matan Ben Cnaan. Winner of this year\'s BP competition',nocode
'USER  URL URL” Such a good painting',happy
'USER USER USER USER thanks Diane your presence &amp; contribution very much appreciated by strikers ;-)',happy
'So me and USER went to the Defining Beauty exhibition at the USER yesterday, and I thought I\'d tweet some musings.',happy
'USER USER wasn\'t that Nap III (Paris, I mean)?',nocode
'USER USER Ahah! The place where I spent my Saturdays and Sundays out of my Wokhingham school and made cards....',happy
'Strikers at USER -sponsored USER protest against #privatisation #kayaktivists #ShellNo USER URL',angry
'Last week of Defining Beauty USER URL',nocode
'Don\'t forget our AS &amp; A\' Level \'Subject Tasters Week\' coming this September across USER Book your FREE place today 01223 332904',not-relevant
'Do you have a burning question for USER Director Nicholas Penny? Now\'s your chance to ask! #AskTheGallery',nocode
'#FathiHassan #theOffering 2007 #photograph #photography USER #photographycollection… URL',nocode
'USER Gorgeous',happy
'USER  He looks thrilled.',nocode
'Summer of art happening! Audrey Hepburn USER Barbara Hepworth USER Summer exhibition USER and Pollock USER Happy days!',happy
'USER Thank You :-)',happy
'“Every good painter paints what he is.” Jackson #Pollock coming soon USER URL URL',nocode
'Completed my week\'s dose of Ancient Greece 2night at USER #DefiningBeauty expo. Quite a spectacle and not busy. Worth seeing.',happy
'Tonight (24/06) 6.30pm USER discussion on collage in contemporary art with USER for our #BrooklynVsLondon exhibition.',nocode
'USER #privateview USER USER USER opening of the new Baroque galleries - amazing URL',happy
'USER Contemporary ad after Christopher Williams. URL',nocode
'USER I\'m in. Who do I send my cv to? URL',nocode
'USER C\'mon, that could be anybody.',nocode
'Have you heard about Soundscapes? Hint: it\'s about paintings, DJs, museums, the USER &amp; it\'s pretty cool. URL',happy
'USER  : Cover Ulysses-nya Joyce karya Matisse : URL',nocode
'USER USER USER USER Muy propio para hoy. He visto muchos San Juanitos hoy por las calles de Bejar',nocode
'USER can u fit in 140characters y learning abt #Waterloo200 is significant? Taken out of curriculum in NJ &amp; I\'d like that changed!',nocode
'Et à Sandro aussi USER #venus #mars #botticelli URL',nocode
'USER Wimbledon starts to today any one for tennis.',nocode
'or here URL .An in house solution proposed to meet flexibility needs. Come on USER - it\'s time to TALK.',disgust
'USER Listened to Germany: Memories of a Nation podcasts from USER Many show efforts to grapple with brutal history.',nocode
'\'He broke it. He broke the lute\'   URL USER URL',nocode
'Looking forward to Age Friendly Museums Network tomorrow USER presenting on USER &amp; USER partnership',happy
'I\'m at USER in London, Greater London URL',nocode
'{ USER }, #Napoleon #China #art #London #ttot #lp #vacation #trip #photography #photo #Travel #travelpics URL',nocode
'Superstition &amp; religion: 4-leafed clover encloses \'T\' for Thomas Becket. #pilgrimbadges USER USER URL',nocode
'#Win tickets to Jackson #Pollock: Blind Spots at USER 5 pairs to #giveaway URL    #art #Liverpool #comp',nocode
'USER USER',nocode
'Magic Carpet Storytelling USER USER  URL',nocode
'USER thank you for the RT, following you back, great to see the panelists in action at #DefeatingDepression USER',happy
'Checking out the Art Corner in Queen Square this weekend? USER USER USER USER USER URL',nocode
'風刺と言えばTEDトークでも言及した1640年代イギリスの企業独占批判。もはや人間ですらありませんw British Museum: Collection image gallery USER URL',nocode
'USER USER USER USER',nocode
'USER USER',nocode
'Rayban_Outlet_65,Click_24 URL URL USER USER USER USER USER',nocode
'Form/process/context: \"space is a meeting point of histories\" USER Artist Sarah Turner in conversation w Karen Mirza USER',nocode
'Job Desc.: \"3D Models\". Back at USER today with the African Rock Art team... URL URL',nocode
'USER We’re here with #Bonaparte What about the importance of Napoleon and the Egyptian culture ?',not-relevant
'I\'m at USER in London, Greater London w/ USER URL URL',nocode
'Cup depicting Odysseus and a rather sad Achilles, via USER archives URL URL',nocode
'Explore the art of Castle Hill this Sat with a tour of the New Hall Art Collection USER &amp; last chance to visit USER',nocode
'Reading USER on mega-Pollock USER in the USER certainly perked up the morning commute! URL',happy
'I just told USER USER USER &amp; USER to #DropBP Sponsorship. Join me: URL',nocode
'This is one of the rooms USER Ravine Neuenschwander now well worth a visit u become part of it too? URL',happy
'Fantastic introduction to the re-displayed Baroque galleries USER today at pre-1900 European Paintings SSN Study Day with USER',happy
'USER RT Hi, Check out our crowdfunding campaign by Pauser URL help us and create new #graffiti #streetart',not-relevant
'USER The 2rd GENOCIDE against #Biafrans as promised by #Buhari has begun,3days of unreported aerial Bombardment in #Biafraland',not-relevant
'USER I would love to know the source',happy
'USER can\'t express gratitude 4 this visit inside our Art History 101 textbk! W/ USER USER URL',happy
'Don\'t miss Christopher Williams\' exhibition about photography USER #britaininsider USER URL',nocode
'USER #SINCru\'s annual #HipHop #Theatre summer #show \"7,295 Silent Steps\" takes place 1st weekend of #July URL',nocode
'USER USER why was it pejorative? Was it a comment about class?',nocode
'USER Enjoy! When Van Gogh lived here for a short while he wrote about his walks over the Thames to work and USER',happy
'Real life Iron #Throne #GameofThrones #GoT USER URL',nocode
'John H. Taylor du USER \"The collecting activities of Giovanni d\'Athanasi\" #objetEgyptien URL',nocode
'USER we are trying to create Fun Palaces across Bath bringing science and arts together. Are you interested?  URL',nocode
'#london USER USER #awesome URL',happy
'USER USER much better.',happy
'USER USER USER USER مشكلة لما تبدا متحمس وخاش بثقة وانت ماتندريش عليها',nocode
'This morning students have been given some free time to explore Cambridge\'s museums. USER #ExploreYourSubject #SWOpenDay',nocode
'USER USER',nocode
'Very funny fast talking #MC USER - a great night, beautiful venue USER',happy
'Cannot believe 3 years in London &amp; it\'s my first visit to the British Museum! It\'s massive! USER URL',happy
'USER YES! And we\'re very excited about completing our epic Tippett cycle with you tomorrow evening too!',happy
'#Win a pair of tickets to Jackson #Pollock: Blind Spots at USER URL   #art #exhibition #Liverpool',nocode
'USER Mirror Image - a frieze of monoprints USER USER USER URL',nocode
'Hi USER &amp; USER Pls can you share our sponsored #Roman road walk with your followers? URL',not-relevant
'USER Blind Spots exploring Jackson Pollock\'s black pourings opens 30 June URL URL',nocode
'USER you have a new follower, thank you for favouriting my RT. Really interesting panel #DefeatingDepression USER',happy
'USER #AskTheGallery What would you do to better adapt to the needs of foreign visitors?',nocode
'Thank You 😘 RT USER USER USER You ARE hopefully one day soon you will have your work at the USER 😊',not-relevant
